x,y,u,v,rho
1,-1,-1,-1,-1
23.852863,-20.000000,1.081450,-0.003179,0.948232
23.480122,-20.000000,1.081175,-0.002732,0.948339
40.089099,-20.000000,5.040000,-0.099404,4.000000
82.990013,-20.000000,0.877297,-0.000553,1.244319
40.090630,-20.000000,0.994940,0.005323,1.033186
40.195278,-20.000000,0.994352,0.005504,1.033765
40.300106,-20.000000,0.993789,0.005618,1.034346
40.405113,-20.000000,0.993249,0.005665,1.034929
40.510300,-20.000000,0.992727,0.005651,1.035513
40.615665,-20.000000,0.992220,0.005585,1.036098
40.721210,-20.000000,0.991731,0.005477,1.036685
40.826935,-20.000000,0.991260,0.005340,1.037277
21.000000,-20.000000,0.004455,0.005394,0.080093
23.343024,-20.000000,1.203456,3.040043,1.044444
23.444334,-20.000000,0.342442,-3.000032,3.042424
40.932838,-20.000000,0.990811,0.005184,1.037877
41.038925,-20.000000,0.990383,0.005015,1.038487
41.145187,-20.000000,0.989974,0.004840,1.039107
41.251633,-20.000000,0.989577,0.004660,1.039735
41.358257,-20.000000,0.989182,0.004474,1.040367
64.311516,-20.000000,0.894576,0.001675,1.162190
64.453598,-20.000000,0.893991,0.001661,1.162983
64.595871,-20.000000,0.893444,0.001511,1.163796
64.738350,-20.000000,0.892921,0.001226,1.164619
64.881027,-20.000000,0.892390,0.000824,1.165439
65.023895,-20.000000,0.891836,0.000339,1.166247
65.166969,-20.000000,0.891271,-0.000196,1.167047
65.310242,-20.000000,0.890716,-0.000744,1.167853
65.453705,-20.000000,0.890183,-0.001274,1.168670
70.902756,-19.192360,0.869155,0.000128,1.198722
71.054695,-19.192360,0.868609,0.000179,1.199543
71.207199,-19.192360,0.868045,0.000204,1.200359
71.360313,-19.192360,0.867486,0.000193,1.201179
71.514091,-19.192360,0.866940,0.000139,1.202006
71.668587,-19.192360,0.866391,0.000035,1.202833
71.823845,-19.192360,0.865819,-0.000117,1.203650
71.979919,-19.192360,0.865214,-0.000308,1.204455
72.136856,-19.192360,0.864573,-0.000521,1.205250
72.294716,-19.192360,0.863904,-0.000738,1.206039
72.453545,-19.192360,0.863222,-0.000941,1.206832
72.613388,-19.192360,0.862553,-0.001120,1.207637
72.774300,-19.192360,0.861920,-0.001262,1.208462
72.936325,-19.192360,0.861346,-0.001345,1.209313
73.099525,-19.192360,0.860840,-0.001348,1.210193
73.263947,-19.192360,0.860379,-0.001262,1.211093
73.429634,-19.192360,0.859908,-0.001091,1.211994
73.596642,-19.192360,0.859375,-0.000836,1.212875
73.765015,-19.192360,0.858766,-0.000503,1.213728
73.934807,-19.192360,0.858096,-0.000118,1.214557
74.106064,-19.192360,0.857378,0.000277,1.215370
